,hotel_id,clean_score,meal_score,location_score,sleep_score,room_score,service_score,facility_score,overall_score,num_review,review_score
9004,35907,8.9,-1.0,9.1,8.7,-1.0,8.6,-1.0,9.05,26,3.46
9005,35908,8.5,7.3,8.3,8.9,9.2,9.0,9.1,8.75,6,3.33
9006,35909,9.2,-1.0,9.2,9.5,9.5,9.5,9.5,8.7,6,3.6
9007,35910,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9008,35911,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.2,-1,-1.0
9009,35912,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.1,-1,-1.0
9010,35913,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9011,35914,9.0,8.8,8.2,9.3,-1.0,9.3,-1.0,9.15,9,5.0
9012,35915,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9013,35917,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9014,35918,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9015,35920,8.2,-1.0,8.1,8.5,-1.0,8.1,7.7,8.1,-1,-1.0
9016,35921,8.7,7.4,9.3,8.7,-1.0,8.8,-1.0,8.3,-1,-1.0
9017,35922,9.7,8.0,9.5,9.6,-1.0,9.3,-1.0,8.5,-1,-1.0
9018,35923,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9019,35925,7.5,-1.0,7.5,-1.0,10.0,10.0,8.8,8.9,-1,-1.0
9020,35926,8.7,-1.0,8.7,8.3,-1.0,8.3,-1.0,8.65,-1,-1.0
9021,35928,8.0,8.0,8.0,8.0,-1.0,8.0,-1.0,8.0,-1,-1.0
9022,35930,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9023,35931,7.1,-1.0,6.0,7.5,7.5,7.7,7.5,6.25,2,7.0
9024,35932,10.0,-1.0,7.5,-1.0,5.0,7.5,7.5,8.15,-1,-1.0
9025,35933,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9026,35937,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9027,35938,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.5,-1,-1.0
9028,35939,9.2,-1.0,10.0,-1.0,-1.0,10.0,9.6,8.9,-1,-1.0
9029,35941,9.4,-1.0,7.5,10.0,10.0,8.8,8.8,8.95,-1,-1.0
9030,35944,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.5,-1,-1.0
9031,35946,9.2,-1.0,10.0,-1.0,-1.0,10.0,9.6,8.9,-1,-1.0
9032,35948,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9033,35949,10.0,-1.0,10.0,-1.0,-1.0,10.0,10.0,9.0,-1,-1.0
9034,35950,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,-1,-1.0
9035,35951,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9036,35952,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9037,35956,8.8,-1.0,7.5,-1.0,8.8,10.0,8.8,9.2,-1,-1.0
9038,35957,10.0,-1.0,10.0,-1.0,10.0,10.0,10.0,9.0,-1,-1.0
9039,35958,8.1,-1.0,8.1,-1.0,7.5,7.5,6.9,8.75,-1,-1.0
9040,35962,10.0,-1.0,10.0,-1.0,10.0,10.0,10.0,9.0,-1,-1.0
9041,35963,10.0,-1.0,10.0,-1.0,10.0,10.0,10.0,9.0,-1,-1.0
9042,35964,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1,-1.0
9043,35965,5.0,-1.0,5.0,-1.0,5.0,2.5,2.5,5.9,-1,-1.0
9044,35966,8.1,8.0,8.6,8.2,-1.0,8.1,-1.0,8.0,-1,-1.0
9045,35968,10.0,-1.0,10.0,-1.0,10.0,10.0,10.0,9.0,-1,-1.0
9046,35969,9.3,8.0,8.7,9.3,-1.0,9.0,-1.0,6.65,-1,-1.0
9047,35970,10.0,-1.0,10.0,-1.0,10.0,10.0,10.0,10.0,-1,-1.0
9048,35971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9049,35972,9.2,-1.0,8.4,8.9,8.8,9.0,8.7,9.4,-1,-1.0
9050,35974,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9051,35975,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9052,35976,10.0,-1.0,10.0,-1.0,10.0,10.0,10.0,9.0,-1,-1.0
9053,35977,10.0,-1.0,10.0,-1.0,10.0,10.0,10.0,9.0,-1,-1.0
9054,35978,8.9,8.0,8.4,9.0,8.8,8.9,8.9,7.85,-1,-1.0
9055,35979,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.1,-1,-1.0
9056,35980,9.0,8.1,8.7,8.9,-1.0,8.8,-1.0,8.4,-1,-1.0
9057,35981,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9058,35982,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9059,35983,9.7,8.0,9.7,9.0,10.0,9.7,10.0,9.0,-1,-1.0
9060,35984,9.2,-1.0,9.4,9.4,-1.0,9.2,-1.0,8.35,-1,-1.0
9061,35985,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.55,2,4.5
9062,35986,10.0,-1.0,10.0,-1.0,10.0,10.0,10.0,9.0,-1,-1.0
9063,35987,10.0,-1.0,10.0,-1.0,10.0,10.0,10.0,9.0,-1,-1.0
9064,35988,10.0,-1.0,10.0,-1.0,10.0,10.0,10.0,9.0,-1,-1.0
9065,35991,10.0,-1.0,10.0,-1.0,10.0,10.0,10.0,10.0,2,7.0
9066,35993,8.0,-1.0,9.5,-1.0,7.5,7.5,8.0,7.95,-1,-1.0
9067,35994,9.7,8.0,9.7,9.0,10.0,9.7,10.0,9.0,-1,-1.0
