,id,name,province_id
151,152,Huyện Dương Minh Châu,30
152,153,Huyện Đakrông,44
153,154,Huyện Đà Bắc,48
154,155,Thành Phố Đà Lạt,20
155,156,Huyện Đạ Huoai,20
156,157,Huyện Đạ Tẻh,20
157,158,Huyện Đại Lộc,28
158,159,Huyện Đại Từ,55
159,160,Huyện Đắk Đoa,4
160,161,Huyện Đak Pơ,4
161,162,Huyện Đan Phượng,11
162,163,Huyện Đắk Glei,56
163,164,Huyện Đắk Glong,54
164,165,Huyện Đắk Hà,56
165,166,Huyện Đắk Mil,54
166,167,Huyện Đắk R'lấp,54
167,168,Huyện Đắk Song,54
168,169,Huyện Đắk Tô,56
169,170,Huyện Đầm Dơi,41
170,171,Huyện Đầm Hà,10
171,172,Huyện Đam Rông,20
172,173,Huyện Đất Đỏ,15
173,174,Huyện Điện Bàn,28
174,175,Huyện Điện Biên,57
175,176,Huyện Đông,57
176,177,Thành Phố Điện Biên Phủ,57
177,178,Huyện Đình Lập,27
178,179,Huyện Định Hóa,55
179,180,Huyện Định Quán,32
180,181,Huyện Đoan Hùng,49
181,182,Huyện Đô Lương,7
182,183,Quận Đồ Sơn,3
183,184,Huyện Đông Anh,11
184,185,Huyện Đông Giang,28
185,186,Thành Phố Đông Hà,44
186,187,Huyện Đông Hải,18
187,188,Huyện Đông Hòa,58
188,189,Huyện Đông Hưng,59
189,190,Huyện Đông Sơn,16
190,191,Huyện Đông Triều,10
191,192,Thành Phố Đồng Hới,12
192,193,Huyện Đồng Hỷ,55
193,194,Huyện Đồng Phú,35
194,195,Huyện Đồng Văn,25
195,196,Thị Xã Đồng Xoài,35
196,197,Huyện Đồng Xuân,58
197,198,Quận Đống Đa,11
198,199,Huyện Đơn Dương,20
199,200,Huyện Đức Cơ,4
200,201,Huyện Đức Hòa,31
201,202,Huyện Đức Huệ,31
202,203,Huyện Đức Linh,23
203,204,Huyện Đức Phổ,13
204,205,Huyện Đức Thọ,45
205,206,Huyện Đức Trọng,20
206,207,Huyện Ea H'leo,40
207,208,Huyện Ea Kar,40
208,209,Huyện Ea Súp,40
209,210,Huyện Gia Bình,26
210,211,Huyện Gia Lâm,11
211,212,Huyện Gia Lộc,34
212,213,Thị Xã Gia Nghĩa,54
213,214,Huyện Gia Viễn,60
214,215,Huyện Giá Rai,18
215,216,Huyện Giang Thành,2
216,217,Huyện Giao Thủy,61
217,218,Huyện Gio Linh,44
218,219,Huyện Giồng Riềng,2
219,220,Huyện Giồng Trôm,14
220,221,Thị Xã Gò Công,42
221,222,Huyện Gò Công Đông,42
222,223,Huyện Gò Công Tây,42
223,224,Huyện Gò Dầu,30
224,225,Huyện Gò Quao,2
225,226,Quận Gò Vấp,33
226,227,Quận Hà Đông,11
227,228,Thành Phố Hà Giang,25
228,229,Huyện Hà Quảng,19
229,230,Thị Xã Hà Tiên,2
230,231,Thành Phố Hà Tĩnh,45
231,232,Huyện Hà Trung,16
232,233,Huyện Hạ Hòa,49
233,234,Huyện Hạ Lang,19
234,235,Thành Phố Hạ Long,10
235,236,Quận Hai Bà Trưng,11
236,237,Quận Hải An,3
237,238,Quận Hải Châu,50
238,239,Thành Phố Hải Dương,34
239,240,Huyện Hải Hà,10
240,241,Huyện Hải Hậu,61
241,242,Huyện Hải Lăng,44
242,243,Huyện Hàm Tân,23
243,244,Huyện Hàm Thuận Bắc,23
244,245,Huyện Hàm Thuận Nam,23
245,246,Huyện Hàm Yên,53
246,247,Huyện Hậu Lộc,16
247,248,Huyện Hiệp Đức,28
248,249,Huyện Hiệp Hòa,24
249,250,Huyện Hoa Lư,60
250,251,Huyện Hòa An,19
251,252,Huyện Hòa Bình,18
252,253,Thành Phố Hòa Bình,48
253,254,Huyện Hòa Thành,30
254,255,Huyện Hòa Vang,50
255,256,Huyện Hoài Ân,5
256,257,Huyện Hoài Đức,11
257,258,Huyện Hoài Nhơn,5
258,259,Quận Hoàn Kiếm,11
259,260,Quận Hoàng Mai,11
260,261,Thị Xã Hoàng Mai,7
261,262,Huyện Đảo Hoàng Sa,50
262,263,Huyện Hoàng Su Phì,25
263,264,Huyện Hoành Bồ,10
264,265,Huyện Hoằng Hóa,16
265,266,Huyện Hóc Môn,33
266,267,Huyện Hòn Đất,2
267,268,Huyện Hớn Quản,35
268,269,Thành Phố Hội An,28
269,270,Quận Hồng Bàng,3
270,271,Huyện Hồng Dân,18
271,272,Thị Xã Hồng Lĩnh,45
272,273,Huyện Hồng Ngự,47
273,274,Thị Xã Hồng Ngự,47
274,275,Thành Phố Huế,1
275,276,Huyện Hưng Hà,59
276,277,Huyện Hưng Nguyên,7
277,278,Thành Phố Hưng Yên,8
278,279,Huyện Hương Khê,45
279,280,Huyện Hương Sơn,45
280,281,Thị Xã Hương Thủy,1
281,282,Thị Xã Hương Trà,1
282,283,Huyện Hướng Hóa,44
283,284,Huyện Hữu Lũng,27
284,285,Huyện Ia Grai,4
285,286,Huyện Ia Pa,4
286,287,Huyện K'bang,4
287,288,Huyện Kế Sách,52
288,289,Huyện Khánh Sơn,43
289,290,Huyện Khánh Vĩnh,43
290,291,Huyện Khoái Châu,8
291,292,Huyện Đảo Kiên Hải,2
292,293,Huyện Kiên Lương,2
293,294,Quận Kiến An,3
294,295,Huyện Kiến Thụy,3
295,296,Huyện Kiến Xương,59
296,297,Thị Xã Kiến Tường,31
297,298,Huyện Kim Bảng,36
298,299,Huyện Kim Bôi,48
299,300,Huyện Kim Động,8
300,301,Huyện Kim Sơn,60
301,302,Huyện Kim Thành,34
302,303,Huyện Kinh Môn,34
303,304,Huyện Kon Plông,56
304,305,Huyện Kon Rẫy,56
305,306,Thành Phố Kon Tum,56
306,307,Huyện Kông Chro,4
307,308,Huyện Krông Ana,40
308,309,Huyện Krông Bông,40
309,310,Huyện Krông Búk,40
310,311,Huyện Krông Năng,40
311,312,Huyện Krông Nô,54
312,313,Huyện Krông Pa,4
313,314,Huyện Krông Pắk,40
314,315,Huyện Kỳ Anh,45
315,316,Huyện Kỳ Sơn,48
316,317,Huyện Kỳ Sơn,7
317,318,Thị Xã La Gi,23
318,319,Huyện Lạc Dương,20
319,320,Huyện Lạc Sơn,48
320,321,Huyện Lạc Thủy,48
