,id,name,district_id,province_id
9968,32199,Thống Nhất,432,17
9969,32200,Tân Hội,432,17
9970,32201,Tô Hiệu,432,17
9971,32202,Trần Bình Trọng,432,17
9972,32203,Trần Nhân Tông,432,17
9973,32204,Trần Phú,432,17
9974,32205,Tự Đức,432,17
9975,32206,Công viên 16 tháng 4,432,17
9976,32207,Trần Thi,432,17
9977,32208,Nhà máy nước Phan Rang,432,17
9978,32209,Yên Ninh,432,17
9979,32210,Tháp Chàm Poklong Garai,432,17
9980,32211,Bến xe khách Phan Rang,432,17
9981,32213,Cầu Đạo Long 1,432,17
9982,32214,Nguyễn Thái Học,432,17
9983,32215,Bãi biển Phan Rang,432,17
9984,32216,Công An Tỉnh Ninh Thuận,432,17
9985,32217,Bệnh viện đa khoa Ninh Thuận,432,17
9986,32218,Trần Quang Diệu,432,17
9987,32219,Hải Thượng Lãn Ông,432,17
9988,32220,Viện Kiểm Soát ND,432,17
9989,32221,Cầu Móng,432,17
9990,32222,Sân vận động Nhơn Sơn,432,17
9991,32223,Cà Đú,422,17
9992,32224,DT 702,422,17
9993,32225,Tân An,422,17
9994,32226,Trần Cao Vân,432,17
9995,32228,Hộ Hải,422,17
9996,32229,Cảng Đông Hải,432,17
9997,32230,Cầu Bực Lở,425,17
9998,32231,Đông Sơn,432,17
9999,32232,Nhà Thiếu Nhi,432,17
10000,32233,Long Bình,425,17
10001,32234,Yên Ninh,422,17
10002,32235,Phố 4,425,17
10003,32236,Quốc lộ 1A,425,17
10004,32237,Tỉnh lộ 703,425,17
10005,32238,Thị trấn Phước Dân,425,17
10006,32239,Khánh Hải,422,17
10007,32240,Lên Hải Đăng,422,17
10008,32241,Phước Thuận,425,17
10009,32242,Tri Hải,422,17
10010,32243,Quốc lộ 27,426,17
10011,32244,Đi Ma Nới,426,17
10012,32245,Quốc lộ 27B,426,17
10013,32246,Triệu Phong,426,17
10014,32247,Tân Mỹ,426,17
10015,32248,An Hải,425,17
10016,32249,Tân Sơn,426,17
10017,32250,Quảng Sơn,426,17
10018,32251,Đắc Nhơn,426,17
10019,32252,Lương Sơn,426,17
10020,32253,Quốc lộ 1A,426,17
10021,32254,Nguyễn Huệ,425,17
10022,32255,Nhơn Sơn,426,17
10023,32256,Quốc Lộ 1,602,17
10024,32257,Quốc lộ1,602,17
10025,32258,Bắc Kinh,239,34
10026,32259,Bình Minh,239,34
10027,32260,Bà Triệu,239,34
10028,32261,Đỗ Ngọc Du,239,34
10029,32262,Công Viên Bạch Đằng,239,34
10030,32263,An Ninh,239,34
10031,32264,Bắc Sơn,239,34
10032,32265,Chu Văn An,239,34
10033,32266,Đồng Xuân,239,34
10034,32267,An Định,239,34
10035,32268,Điện Biên Phủ,239,34
10036,32269,Bùi Thị Cúc,239,34
10037,32270,An Thái,239,34
10038,32271,Chi Lăng,239,34
10039,32272,Hoàng Diệu,239,34
10040,32273,Đại Lộ 30 Tháng 4,239,34
10041,32274,Hoàng Hoa Thám,239,34
10042,32275,Hoàng Ngân,239,34
10043,32276,Khu 15,239,34
10044,32277,Cầu Cốn,239,34
10045,32278,Đoàn Kết,239,34
10046,32279,Lê Hồng Phong,239,34
10047,32280,Lê Khôi,239,34
10048,32281,Canh Nông,239,34
10049,32282,Lê Đình Vũ,239,34
10050,32283,Lê Lợi,239,34
10051,32284,Bạch Đằng,239,34
10052,32285,Mạc Thị Bưởi,239,34
10053,32286,Hồng Quang,239,34
10054,32287,Hoàng Văn Thụ,239,34
10055,32288,Minh Khai,239,34
10056,32289,Nguyễn Bỉnh Khiêm,239,34
10057,32290,Ngô Quyền,239,34
10058,32291,Nguyễn Chế Nghĩa,239,34
10059,32292,Lý Thường Kiệt,239,34
10060,32293,Nguyễn Du,239,34
10061,32294,Nguyễn Quý Tân,239,34
10062,32295,Nguyễn Thị Duệ,239,34
10063,32296,Nguyễn Thiện Thuật,239,34
10064,32297,Lê Thanh Nghị,239,34
10065,32298,Nguyễn Thượng Mẫn,239,34
10066,32300,Nguyễn Văn Tố,239,34
