,hotel_id,clean_score,meal_score,location_score,sleep_score,room_score,service_score,facility_score,overall_score
252,46102,10,-1,10,8,-1,6,-1,9
253,46209,-1,-1,-1,-1,-1,-1,-1,4
254,46551,8,7.6,8.4,7.8,-1,7.7,-1,7.9
255,46572,-1,-1,-1,-1,-1,-1,-1,10
256,46736,-1,-1,-1,-1,-1,-1,-1,-1
257,46771,7.5,8,8.5,6,-1,8,-1,7.6
258,46779,8,8,8,8.7,-1,7.7,-1,8.7
259,46791,8,-1,8,8,-1,9,-1,-1
260,46813,10,-1,10,10,-1,10,-1,-1
261,46814,-1,-1,-1,-1,-1,-1,-1,-1
262,46882,-1,-1,-1,-1,-1,-1,-1,-1
263,47176,-1,-1,-1,-1,-1,-1,-1,-1
264,47187,-1,-1,-1,-1,-1,-1,-1,-1
265,47201,-1,-1,-1,-1,-1,-1,-1,-1
266,47288,10,-1,10,10,-1,9,-1,-1
267,47505,-1,-1,-1,-1,-1,-1,-1,-1
268,8,8.3,8.1,8.5,8.4,-1,8.2,-1,7.5
269,10,8.2,7.2,7.9,7.9,-1,7.8,-1,6.8
270,39,9.3,7.8,8.1,8.6,-1,8.6,8.3,8.4
271,102,9.1,8.3,8.7,9,-1,8.9,-1,8.3
272,130,8,8,8,8,-1,8,-1,-1
273,173,8.3,7.6,8.6,8.5,-1,8.3,-1,8.1
274,201,7.3,8,10,8.7,-1,8,-1,8.4
275,280,7.4,7.5,7.8,7.4,-1,7.8,-1,6
276,286,8.8,8.3,8.5,8.9,-1,8.6,-1,8.5
277,298,-1,-1,-1,-1,-1,-1,-1,8.6
278,332,8.6,7.9,8.8,8.3,-1,8.3,-1,8.4
279,372,-1,-1,-1,-1,-1,-1,-1,7.4
280,393,8.5,8.1,8.5,8.7,-1,8.5,-1,7.9
281,415,8.5,8.1,8.8,8.3,-1,8.1,-1,7.5
282,430,9.4,8.3,8.5,9.2,-1,9,-1,8.7
283,436,-1,-1,-1,-1,-1,-1,-1,8.4
