,domain_hotel_id,min_price_update
0,9676117,813853
1,1000000485716,656000
2,9400049,-1
3,1000000480064,637500
4,5610212,1922956
5,1000000372191,1360800
6,4244923,681818
7,4244923,350000
8,5816956,1166129
9,1000000427602,1029551
10,54326990,354978
11,3000010028741,414000
12,1000000469899,975000
13,8772062,1307359
14,3000010037643,471000
15,3000010027654,688500
16,33119862,767532
17,1000000476692,770000
18,9202695,761905
19,14704051,311688
20,1000000508230,623700
21,10484075,649351
22,12538288,666667
23,1000000553965,750000
24,22825581,1627706
25,1000000448712,667522
26,1000000458625,1980000
27,8209862,1609091
28,8376282,2770563
29,3000010023941,900000
30,9676435,692641
31,12013645,389610
32,1000000542183,380000
33,568319,699134
34,9056360,818182
35,4000000958459,1347143
36,3000010025364,690000
37,9295486,779221
38,3000010033024,1122617
39,12537928,305577
40,1000000554720,352193
41,5816956,1166129
42,1000000427602,1029551
43,10965245,-1
44,1000000514197,777219
45,3000010037877,10000000
46,45996794,545455
47,1000000505287,1275358
48,11253800,987013
49,1000000527591,950000
50,297027,546667
51,1000000508230,623700
52,10443462,553334
53,1000000249493,2108250
54,1636552,1980693
55,1000000486456,648624
56,9709608,735931
57,5693472,389610
58,1000000425916,802961
59,802991,225108
60,3000010037958,1690000
61,37047240,1038961
62,344975,1038961
63,3000010036012,1300000
64,5896473,770000
65,8091891,649351
66,1000000456551,700000
67,1000000327239,1795000
68,9679302,202598
69,1000000501326,234000
70,1000000448712,667522
71,12705158,519481
72,3000020008517,1676443
73,1000000246732,1081306
74,1492610,1170563
75,1000000481205,1254902
76,6516305,939419
77,1000000452588,1250000
78,7768583,995671
79,9276882,735195
80,1000000477617,845000
81,32912974,-1
82,1000000551788,500000
83,1000000633397,600000
84,42671446,-1
85,1000000556219,770000
86,12707286,498701
87,1000000490874,840000
88,9851027,-1
89,1000000553513,2006742
90,9847161,1037381
91,5427108,584416
92,1000000419458,1122617
93,9399689,550039
94,1000000480053,504729
95,1000000479893,2028917
96,9390562,1380022
97,17447893,784333
98,3000010030736,1013550
99,1000000558946,756000
100,1000000531375,1800000
101,11529181,1512987
102,431170,1846800
103,55027086,-1
104,3000010032108,720000
105,9390160,1453813
106,1000000479885,1495437
107,7181293,254545
108,33283521,-1
109,1000000572972,355000
110,3000010036562,350000
111,1000000527540,528877
112,11252079,458874
113,7869648,2113692
114,1000000454126,3225399
115,22235266,314617
116,3000010037099,550000
117,9391137,1309091
118,11234522,1560718
119,1000000526227,682062
120,3000010037929,745000
121,856104,623377
122,3000010041323,335000
