,hotel_id,rank_score
0,71,4.800222806774925e-05
1,77,0.00010934075999163663
2,123,0.00010397512917383301
3,143,0.00013468048849953418
4,206,0.00011711713193044584
5,245,8.763599476059844e-05
6,262,5.8017625339059123e-05
7,331,0.00010645372533309944
8,343,6.013967960062286e-05
9,416,0.0001398416274824384
10,417,4.811716799350943e-05
11,446,0.00011909636250499687
12,447,0.00013644983902606132
13,462,0.0001161344223687764
14,662,0.0001065601241205715
15,695,9.999217755936473e-05
16,707,0.00013071267889133584
17,765,6.472973394567807e-05
18,769,0.00010592431611961596
19,953,5.9458803083284374e-05
20,959,5.552445753946901e-05
21,1087,0.00012801535709572868
22,1106,0.00012859466969517033
23,1262,0.00012825130738866182
24,1400,6.607454092433368e-05
25,1525,-1.2392135805693099
26,1551,5.8378216403500245e-05
27,1784,5.961003888877697e-05
28,1878,0.00013881139363169028
29,1926,5.627996696840568e-05
30,1954,5.163963481408366e-05
31,1988,0.00011847608712162587
32,2041,8.780027574062702e-05
33,2114,6.276634466901944e-05
34,2144,0.00010788477518587849
35,2269,6.227071186310484e-05
36,2350,5.815380702299423e-05
37,2376,5.6211378829595556e-05
38,2431,-1.2391996543936956
39,2451,5.9688816585116835e-05
40,2461,-1.2391485388823578
41,2636,5.538733728076376e-05
42,2649,5.978739284541832e-05
43,2665,6.366967399222193e-05
44,2677,6.321497292232847e-05
45,2691,7.488775699042059e-05
46,2772,4.54504524253449e-05
47,2852,5.4496867149191226e-05
48,2918,5.100171594715488e-05
49,2929,0.00012079986480505615
50,2942,5.9337472299822005e-05
51,2984,9.581017130706193e-05
52,3026,-1.239210041171442
53,3062,9.388053853512074e-05
54,3106,8.920512204950983e-05
55,3160,5.535099527094507e-05
56,3191,-1.239217009719859
57,3192,-1.2392194136573769
58,3266,6.187066039300673e-05
59,3295,5.6473223668778885e-05
60,3315,6.271826919800738e-05
61,3317,0.0001208580907307048
62,3361,6.021175399053549e-05
63,3368,4.72203875672778e-05
64,3452,7.028204703660855e-05
65,3477,8.821097819069844e-05
66,3544,6.52950799377115e-05
67,3565,3.7750499339808735e-05
68,3578,6.112034186079171e-05
69,3604,-1.2392119002609299
70,3617,6.560157785781726e-05
71,3966,6.992451196693083e-05
72,4217,5.374190009660715e-05
73,4273,4.93019132458113e-05
74,4282,7.036101221922642e-05
75,4352,5.117300806489789e-05
76,4452,5.7042046409329925e-05
77,4455,6.33174436688436e-05
78,4501,6.428545029189375e-05
79,4516,6.577760756352227e-05
80,4539,5.9238726375499725e-05
81,4567,4.1741169911144256e-05
82,4578,6.457699027783358e-05
83,4711,6.31348720864735e-05
84,4718,6.46851549014554e-05
85,4750,6.19611105627109e-05
86,4825,5.6199415163774434e-05
87,4966,6.015781922878188e-05
88,5077,-1.2392256554958216
89,5268,-1.2392268707190692
90,5873,6.279971057214238e-05
91,5909,4.646008064633449e-05
92,5937,5.8181913244322806e-05
93,6155,5.5798331251432015e-05
94,6265,7.074636972770226e-05
95,6391,-1.2392159389684607
96,6410,4.7920087577734956e-05
97,6949,6.045421489893221e-05
98,6986,4.6203249703934475e-05
99,7045,5.4553673335914705e-05
100,7046,5.26832189043661e-05
101,7064,6.214877181498406e-05
102,7131,6.648338558686823e-05
103,7589,5.906822382585346e-05
104,7919,6.257835178179786e-05
105,8721,-1.2392310886065212
106,8722,5.788112376008595e-05
107,8725,6.049833527743104e-05
108,8728,4.776081255590348e-05
109,8729,5.342923710408439e-05
110,8734,4.5348812661951364e-05
111,8735,6.238524753743611e-05
112,8737,5.840608552352497e-05
113,8739,4.857159552298335e-05
114,8918,6.124957592343799e-05
115,8919,4.941509141720395e-05
116,9703,0.00014076925011355206
117,9810,0.00013378631255328628
118,9869,6.807173951922524e-05
119,9893,6.544447380381963e-05
120,21653,5.857538088576775e-05
121,21662,6.44908668368503e-05
122,21673,4.634607324455879e-05
123,22166,5.4596309277593096e-05
124,22199,0.00011746007195837836
125,22343,8.825803575613118e-05
126,22380,7.169477670759862e-05
127,22536,5.528170203032772e-05
