,hotel_id,breakfast,wifi,carpark,airport,restaurant,deposit_box,baby,bar,laundry,tour,spa,pool
9056,35923,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9057,35925,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9058,35926,-1,1,1,0,0,0,-1,0,0,0,0,-1
9059,35928,-1,1,0,0,0,0,0,0,1,1,0,0
9060,35930,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9061,35931,-1,-1,1,-1,-1,1,1,1,1,1,0,-1
9062,35932,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9063,35933,-1,-1,-1,-1,-1,1,1,1,1,1,1,1
9064,35937,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9065,35938,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9066,35939,-1,1,0,1,1,1,0,1,1,1,1,0
9067,35941,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
9068,35944,-1,1,0,0,1,0,0,0,1,0,0,0
9069,35946,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9070,35948,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9071,35949,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9072,35950,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,-1
9073,35951,-1,1,0,1,0,0,0,0,1,1,0,0
9074,35952,-1,1,0,1,0,0,0,0,1,1,0,0
9075,35956,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9076,35957,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9077,35958,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9078,35962,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9079,35963,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9080,35964,-1,1,0,1,0,0,0,0,1,-1,-1,-1
9081,35965,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
9082,35966,-1,1,0,0,0,0,0,0,1,0,0,0
9083,35968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9084,35969,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
9085,35970,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9086,35971,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9087,35972,-1,0,0,0,1,0,0,0,1,0,0,0
9088,35974,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9089,35975,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9090,35976,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9091,35977,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9092,35978,-1,1,0,0,0,0,0,0,1,-1,-1,-1
9093,35979,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9094,35980,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9095,35981,-1,1,0,0,0,0,0,0,1,0,1,0
